,LINK ID,ITS LINK ID,도로등급,연장(km),도로명,권역,혼잡빈도강도,혼잡시간강도,혼잡기대강도
127,1072985,2550006600,일반국도,0.17,동해대로,강원도  속초시,100.0,100.0,71.0
128,1072986,"25,500,067,002,550,000,000",일반국도,0.337,동해대로,강원도  속초시,100.0,100.0,70.0
129,1072986,"2550006700,2550006900",일반국도,0.337,동해대로,강원도  속초시,100.0,100.0,72.0
130,1072987,2550114800,시군도,0.258,온천로,강원도  속초시,15.0,33.0,60.5
131,1072988,2550114700,시군도,0.22,온천로,강원도  속초시,21.5,49.5,63.5
132,1072989,2550001200,일반국도,0.32,동해대로,강원도  속초시,99.0,100.0,50.0
133,1072990,"255,000,130,025,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",일반국도,0.812,동해대로,강원도  속초시,100.0,100.0,57.0
134,1072990,"2550001300,2550001500,2550002500,2550004100,2550004300,2550004500",일반국도,0.812,동해대로,강원도  속초시,100.0,100.0,55.0
135,1072991,0,시군도,0.453,수복로,강원도  속초시,34.0,58.0,65.5
136,1072992,0,시군도,0.518,중앙로,강원도  속초시,14.0,37.5,69.0
137,1072993,2550011000,국가지원지방도,0.236,장안로,강원도  속초시,99.0,100.0,72.5
138,1072994,0,시군도,0.625,수복로,강원도  속초시,22.0,43.5,73.0
139,1072995,0,시군도,0.238,청학로,강원도  속초시,65.0,85.5,60.5
140,1072996,0,시군도,0.049,청학로,강원도  속초시,79.0,98.0,85.5
141,1072997,0,시군도,0.734,수복로,강원도  속초시,31.5,58.5,72.0
142,1072998,0,시군도,0.369,수복로,강원도  속초시,33.5,61.0,72.0
143,1072999,0,시군도,0.358,중앙시장로,강원도  속초시,50.0,76.5,55.5
144,1073000,0,시군도,0.279,중앙시장로,강원도  속초시,96.5,99.5,84.0
145,1073001,0,시군도,0.734,수복로,강원도  속초시,66.5,86.5,72.0
146,1073002,0,시군도,0.625,수복로,강원도  속초시,17.0,35.0,70.5
147,1073003,0,시군도,0.279,중앙시장로,강원도  속초시,96.5,99.5,82.5
148,1073004,0,시군도,0.358,중앙시장로,강원도  속초시,72.5,89.0,65.0
149,1073005,0,시군도,0.82,중앙로,강원도  속초시,68.0,84.0,53.5
150,1073006,0,시군도,0.496,번영로,강원도  속초시,50.0,73.0,64.5
151,1073007,0,시군도,0.496,교동로,강원도  속초시,33.5,59.0,58.0
152,1073008,0,시군도,0.369,수복로,강원도  속초시,9.5,32.5,70.0
153,1073009,0,시군도,0.453,수복로,강원도  속초시,21.0,46.5,64.0
154,1073010,0,시군도,0.238,청학로,강원도  속초시,89.0,97.0,71.0
155,1073011,0,시군도,0.604,번영로,강원도  속초시,53.5,70.0,61.5
156,1073012,0,시군도,0.127,교동로,강원도  속초시,81.5,96.0,67.5
157,1073013,0,시군도,1.531,청초호반로,강원도  속초시,27.0,51.5,70.0
158,1073014,0,시군도,1.531,청초호반로,강원도  속초시,22.5,47.5,70.0
